time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010445950000	15.2609	3.58011	5.22632	0.605618	0.359321	radar	2.43041	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4772	3.7644	5.2659	0.638568	0.379438	lidar	0.387595	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6874	3.90022	5.23547	0.647291	0.366268	radar	1.12605	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9126	4.03338	5.23063	0.649438	0.344483	lidar	0.324905	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1071	4.1952	5.13153	0.676657	0.366634	radar	1.50508	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3046	4.38795	5.16705	0.708524	0.384762	lidar	0.252836	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5155	4.55403	5.20401	0.720216	0.37224	radar	0.674666	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6929	4.71427	5.1674	0.737345	0.370319	lidar	0.512646	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8449	4.89993	4.98698	0.782855	0.424557	radar	3.2819	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0062	5.12698	5.03692	0.828361	0.456978	lidar	0.509852	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1775	5.29057	4.99736	0.841517	0.445618	radar	1.59914	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3345	5.4667	4.97267	0.861028	0.441987	lidar	0.163956	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4926	5.62589	4.90166	0.873714	0.433036	radar	2.90698	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6863	5.73922	4.83034	0.853659	0.377952	lidar	1.57618	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.833	5.92626	4.77379	0.882113	0.397692	radar	0.614276	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0057	6.12209	4.81379	0.89845	0.393105	lidar	0.894453	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.158	6.32699	4.85628	0.920973	0.394889	radar	0.832566	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2759	6.57597	4.91462	0.970122	0.433703	lidar	0.757961	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4091	6.78764	4.91239	0.997223	0.443013	radar	0.234998	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5575	6.91445	4.7973	0.98409	0.396801	lidar	1.61022	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7093	7.12025	4.87762	0.991658	0.371744	radar	0.727803	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9113	7.25385	4.82037	0.959953	0.306341	lidar	3.58673	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	19.0012	7.44455	4.67888	0.99901	0.35089	radar	3.63084	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0855	7.72772	4.7876	1.06061	0.408582	lidar	1.77752	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.209	7.93045	4.80153	1.07261	0.393861	radar	0.267184	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.284	8.1526	4.79067	1.10962	0.415969	lidar	1.29209	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3839	8.3607	4.81348	1.12392	0.399122	radar	2.15226	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4789	8.49971	4.66889	1.12197	0.370602	lidar	3.12665	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5734	8.70094	4.62745	1.14217	0.376916	radar	0.415952	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7383	8.87745	4.61105	1.1227	0.328306	lidar	3.96396	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8149	9.09197	4.55935	1.15608	0.359796	radar	0.945747	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9438	9.33179	4.63893	1.16698	0.35146	lidar	3.30012	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9917	9.545	4.53457	1.21309	0.405068	radar	2.31492	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0744	9.79904	4.61352	1.24225	0.416916	lidar	1.06324	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1344	10.0527	4.70492	1.27193	0.420397	radar	7.36479	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.177	10.3417	4.81419	1.31929	0.454016	lidar	1.09393	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1913	10.5773	4.74941	1.37147	0.506773	radar	2.63353	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
